time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z,PointerHeadTilt1X,PointerHeadTilt1Y,PointerHeadTilt1Z,PointerHeadTilt2X,PointerHeadTilt2Y,PointerHeadTilt2Z
0.127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.144,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.158,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.165,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.171,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.178,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
0.185,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.312, 1.403, -0.277,45.822, 16.853, 4.431,0.495, 0.975, -0.336,27.282, 359.786, 5.149,0.477, 0.817, 0.267,0.494, 0.826, -0.046,null,null,null,0.402, 0.862, -0.031
